,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc3439,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc3440,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3441,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc3442,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3443,0.14,0.01,0.18,0.01,0.44,0.01,0.01,0.01,0.01,0.17,4
Doc3444,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.73,0.01,8
Doc3445,0.21,0.02,0.19,0.02,0.02,0.02,0.18,0.02,0.15,0.18,0
Doc3446,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc3447,0.01,0.38,0.16,0.01,0.01,0.01,0.01,0.01,0.37,0.01,1
Doc3448,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.62,9
Doc3449,0.02,0.19,0.02,0.22,0.19,0.02,0.02,0.02,0.3,0.02,8
Doc3450,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.27,0.03,0.03,3
Doc3451,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3452,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3453,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3454,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc3455,0.22,0.02,0.22,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0
Doc3456,0.18,0.02,0.02,0.02,0.02,0.51,0.02,0.19,0.02,0.02,5
Doc3457,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc3458,0.24,0.2,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,5
Doc3459,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc3460,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc3461,0.01,0.01,0.29,0.01,0.01,0.29,0.14,0.22,0.01,0.01,2
Doc3462,0.01,0.01,0.01,0.01,0.3,0.44,0.01,0.16,0.01,0.01,5
Doc3463,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc3464,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc3465,0.03,0.03,0.03,0.03,0.24,0.21,0.03,0.03,0.03,0.37,9
Doc3466,0.03,0.34,0.03,0.28,0.03,0.21,0.03,0.03,0.03,0.03,1
Doc3467,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3468,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc3469,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3470,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.28,9
Doc3471,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3472,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3473,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3474,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc3475,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3476,0.01,0.01,0.16,0.16,0.01,0.01,0.01,0.44,0.01,0.16,7
Doc3477,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc3478,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc3479,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.28,9
Doc3480,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc3481,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc3482,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3483,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3484,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc3485,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3486,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc3487,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3488,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3489,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc3490,0.02,0.02,0.68,0.18,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc3491,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3492,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.42,0.02,0.02,7
Doc3493,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc3494,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3495,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3496,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3497,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3498,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3499,0.02,0.02,0.02,0.37,0.02,0.02,0.02,0.22,0.27,0.02,3
Doc3500,0.01,0.37,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.23,1
Doc3501,0.03,0.03,0.32,0.28,0.03,0.03,0.03,0.22,0.03,0.03,2
Doc3502,0.02,0.02,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,4
Doc3503,0.02,0.02,0.02,0.02,0.02,0.6,0.02,0.02,0.02,0.24,5
Doc3504,0.02,0.31,0.02,0.02,0.02,0.22,0.02,0.2,0.15,0.02,1
Doc3505,0.35,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,5
Doc3506,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.35,0.22,8
Doc3507,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc3508,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,1
Doc3509,0.18,0.02,0.02,0.51,0.02,0.19,0.02,0.02,0.02,0.02,3
Doc3510,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc3511,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc3512,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc3513,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3514,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc3515,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,1
Doc3516,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3517,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.53,9
Doc3518,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc3519,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3520,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3521,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc3522,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3523,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3524,0.02,0.02,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,2
Doc3525,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3526,0.01,0.16,0.26,0.01,0.01,0.23,0.01,0.15,0.14,0.01,2
Doc3527,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3528,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3529,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc3530,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc3531,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3532,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3533,0.02,0.02,0.02,0.02,0.18,0.02,0.53,0.17,0.02,0.02,6
Doc3534,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3535,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.42,0.02,8
Doc3536,0.01,0.01,0.31,0.01,0.01,0.22,0.28,0.13,0.01,0.01,2
Doc3537,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.27,2
Doc3538,0.02,0.02,0.02,0.42,0.02,0.02,0.42,0.02,0.02,0.02,3
Doc3539,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,5
Doc3540,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc3541,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3542,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc3543,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3544,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc3545,0.01,0.01,0.01,0.01,0.14,0.14,0.01,0.39,0.26,0.01,7
Doc3546,0.01,0.01,0.01,0.73,0.01,0.01,0.01,0.01,0.16,0.01,3
Doc3547,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3548,0.02,0.02,0.02,0.02,0.42,0.02,0.22,0.22,0.02,0.02,4
Doc3549,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,2
Doc3550,0.03,0.03,0.52,0.28,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3551,0.02,0.39,0.02,0.18,0.31,0.02,0.02,0.02,0.02,0.02,1
Doc3552,0.02,0.02,0.24,0.02,0.02,0.02,0.6,0.02,0.02,0.02,6
Doc3553,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc3554,0.01,0.01,0.16,0.44,0.01,0.01,0.16,0.16,0.01,0.01,3
Doc3555,0.28,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc3556,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc3557,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3558,0.28,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.27,0.03,0
Doc3559,0.64,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0
Doc3560,0.03,0.03,0.28,0.03,0.03,0.27,0.03,0.03,0.03,0.28,2
Doc3561,0.03,0.03,0.03,0.03,0.27,0.03,0.27,0.03,0.27,0.03,4
Doc3562,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.26,0.46,0.01,8
Doc3563,0.03,0.03,0.27,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc3564,0.01,0.01,0.63,0.01,0.01,0.27,0.01,0.01,0.01,0.01,2
Doc3565,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3566,0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.46,0.22,0.02,7
Doc3567,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3568,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3569,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3570,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3571,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc3572,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3573,0.28,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.27,0.03,0
Doc3574,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc3575,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3576,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3577,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc3578,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,0.03,7
Doc3579,0.3,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,4
Doc3580,0.03,0.03,0.03,0.03,0.03,0.28,0.52,0.03,0.03,0.03,6
Doc3581,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3582,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3583,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc3584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3585,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc3586,0.18,0.02,0.02,0.18,0.35,0.02,0.18,0.02,0.02,0.02,4
Doc3587,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc3588,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3589,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc3590,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc3591,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc3592,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3593,0.52,0.02,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc3594,0.22,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.22,0.02,3
Doc3595,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc3596,0.02,0.02,0.02,0.21,0.02,0.02,0.02,0.23,0.42,0.02,8
Doc3597,0.02,0.02,0.02,0.02,0.22,0.02,0.62,0.02,0.02,0.02,6
Doc3598,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3599,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0
Doc3600,0.01,0.01,0.01,0.01,0.14,0.26,0.51,0.01,0.01,0.01,6
Doc3601,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc3602,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3603,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3604,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc3605,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc3606,0.01,0.44,0.16,0.3,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc3607,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.42,9
Doc3608,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3609,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.52,0.03,8
Doc3610,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc3611,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3612,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.54,0.01,0.01,7
Doc3613,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3614,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3615,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc3616,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc3617,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc3618,0.16,0.29,0.01,0.17,0.01,0.08,0.01,0.14,0.09,0.01,1
Doc3619,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3620,0.03,0.25,0.28,0.03,0.03,0.03,0.03,0.3,0.03,0.03,7
Doc3621,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.35,3
Doc3622,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc3623,0.23,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.43,9
Doc3624,0.03,0.5,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.03,1
Doc3625,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc3626,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.53,9
Doc3627,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3628,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,9
Doc3629,0.02,0.02,0.02,0.22,0.42,0.22,0.02,0.02,0.02,0.02,4
Doc3630,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.28,4
Doc3631,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.59,0.02,8
Doc3632,0.01,0.01,0.24,0.51,0.01,0.17,0.01,0.01,0.01,0.01,3
Doc3633,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc3634,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3635,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.27,0.27,2
Doc3636,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,9
Doc3637,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc3638,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc3639,0.03,0.03,0.03,0.03,0.36,0.03,0.37,0.03,0.03,0.03,6
Doc3640,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc3641,0.22,0.02,0.02,0.22,0.22,0.02,0.02,0.22,0.02,0.02,0
Doc3642,0.08,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.27,8
Doc3643,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3644,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3645,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc3646,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.53,9
Doc3647,0.02,0.18,0.02,0.35,0.02,0.02,0.18,0.02,0.18,0.02,3
Doc3648,0.02,0.02,0.02,0.02,0.49,0.02,0.38,0.02,0.02,0.02,4
Doc3649,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
Doc3650,0.01,0.01,0.27,0.37,0.01,0.01,0.01,0.01,0.01,0.27,3
Doc3651,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc3652,0.02,0.02,0.19,0.02,0.67,0.02,0.02,0.02,0.02,0.02,4
Doc3653,0.03,0.38,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,1
Doc3654,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3655,0.01,0.12,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.4,9
Doc3656,0.03,0.03,0.28,0.03,0.24,0.03,0.03,0.03,0.03,0.31,9
Doc3657,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3658,0.03,0.03,0.27,0.03,0.03,0.27,0.03,0.03,0.03,0.27,2
Doc3659,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3660,0.03,0.03,0.03,0.53,0.27,0.03,0.03,0.03,0.03,0.03,3
Doc3661,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc3662,0.03,0.03,0.03,0.03,0.03,0.23,0.03,0.57,0.03,0.03,7
Doc3663,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3664,0.01,0.01,0.01,0.12,0.01,0.12,0.45,0.01,0.01,0.24,6
Doc3665,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3666,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc3667,0.14,0.01,0.01,0.39,0.01,0.01,0.27,0.13,0.01,0.01,3
Doc3668,0.02,0.02,0.02,0.15,0.18,0.02,0.02,0.38,0.02,0.19,7
Doc3669,0.35,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc3670,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc3671,0.01,0.01,0.01,0.12,0.23,0.14,0.01,0.01,0.2,0.25,9
Doc3672,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,8
Doc3673,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc3674,0.46,0.02,0.02,0.18,0.02,0.02,0.24,0.02,0.02,0.02,0
Doc3675,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.27,0.27,0.03,4
Doc3676,0.16,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.58,9
Doc3677,0.02,0.43,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,1
Doc3678,0.02,0.02,0.35,0.02,0.16,0.02,0.18,0.02,0.02,0.21,2
Doc3679,0.37,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0
Doc3680,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc3681,0.28,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,5
Doc3682,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc3683,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc3684,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3685,0.15,0.01,0.45,0.01,0.11,0.23,0.01,0.01,0.01,0.01,2
Doc3686,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc3687,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc3688,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.52,9
Doc3689,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc3690,0.03,0.03,0.03,0.03,0.61,0.03,0.03,0.03,0.03,0.19,4
Doc3691,0.39,0.02,0.02,0.02,0.02,0.02,0.45,0.02,0.02,0.02,6
Doc3692,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.42,0.22,8
Doc3693,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,5
Doc3694,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3695,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3696,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,1
Doc3697,0.52,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc3698,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3699,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc3700,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3701,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc3702,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc3703,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3704,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc3705,0.01,0.01,0.3,0.01,0.01,0.01,0.34,0.26,0.01,0.01,6
Doc3706,0.03,0.51,0.03,0.03,0.03,0.03,0.03,0.29,0.03,0.03,1
Doc3707,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.22,0.02,0.02,4
Doc3708,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3709,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc3710,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.52,0.03,0.03,7
Doc3711,0.02,0.32,0.22,0.02,0.18,0.18,0.02,0.02,0.02,0.02,1
Doc3712,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc3713,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc3714,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc3715,0.01,0.25,0.01,0.16,0.01,0.01,0.49,0.01,0.01,0.01,6
Doc3716,0.02,0.48,0.02,0.02,0.12,0.02,0.02,0.28,0.02,0.02,1
Doc3717,0.01,0.01,0.23,0.23,0.01,0.01,0.01,0.18,0.01,0.29,9
Doc3718,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3719,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc3720,0.03,0.03,0.31,0.03,0.03,0.49,0.03,0.03,0.03,0.03,5
Doc3721,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc3722,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc3723,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.27,0.03,0.28,9
Doc3724,0.02,0.02,0.37,0.33,0.02,0.02,0.18,0.02,0.02,0.02,2
Doc3725,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc3726,0.02,0.51,0.02,0.19,0.02,0.02,0.02,0.18,0.02,0.02,1
Doc3727,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc3728,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
